depth,strategy,world_size,format,key_bytes,parent_bytes,move_bytes,remote_candidates,remote_only_accepted,accept_bitmap_bytes,remote_only_accept_fraction,eager_bytes,two_phase_bytes,two_phase_reduction_fraction,hybrid_bytes,hybrid_reduction_fraction,hybrid_two_phase_rounds,hybrid_eager_rounds
8,mixed,8,packed_rank16,2,2,1,1172,424,302,0.36177474402730375,5860,3918,0.33139931740614337,3909,0.3329351535836177,6,2
8,mixed,8,packed_rank32,4,4,1,1172,424,302,0.36177474402730375,10548,7110,0.325938566552901,7101,0.32679180887372017,6,2
8,mixed,8,aligned_rank64,8,8,8,1172,424,302,0.36177474402730375,28128,16462,0.4147468714448237,16453,0.41506683731513083,6,2
8,mixed,8,state128_parent128,16,16,4,1172,424,302,0.36177474402730375,42192,27534,0.34741183162684874,27525,0.34762514220705343,6,2
14,direct,2,packed_rank16,2,2,1,3104,36,401,0.011597938144329897,15520,6717,0.5672036082474227,6715,0.5673324742268041,12,2
14,direct,2,packed_rank32,4,4,1,3104,36,401,0.011597938144329897,27936,12997,0.5347580183276059,12995,0.5348296105383734,12,2
14,direct,2,aligned_rank64,8,8,8,3104,36,401,0.011597938144329897,74496,25809,0.653551868556701,25807,0.6535787156357389,12,2
14,direct,2,state128_parent128,16,16,4,3104,36,401,0.011597938144329897,111744,50785,0.5455236970217641,50783,0.5455415950744559,12,2
14,direct,4,packed_rank16,2,2,1,7184,398,937,0.05540089086859688,35920,16499,0.540673719376392,16495,0.5407850779510022,12,2
14,direct,4,packed_rank32,4,4,1,7184,398,937,0.05540089086859688,64656,31663,0.5102852016827518,31659,0.5103470675575352,12,2
14,direct,4,aligned_rank64,8,8,8,7184,398,937,0.05540089086859688,172416,64777,0.624298208982925,64773,0.6243214086859687,12,2
14,direct,4,state128_parent128,16,16,4,7184,398,937,0.05540089086859688,258624,123841,0.5211542625587726,123837,0.5211697290274684,12,2
14,direct,8,packed_rank16,2,2,1,8015,462,1175,0.05764192139737991,40075,18591,0.5360948222083592,18586,0.53621958827199,12,2
14,direct,8,packed_rank32,4,4,1,8015,462,1175,0.05764192139737991,72135,35545,0.5072433631385597,35540,0.5073126776183545,12,2
14,direct,8,aligned_rank64,8,8,8,8015,462,1175,0.05764192139737991,192360,72687,0.622130380536494,72682,0.6221563734664171,12,2
14,direct,8,state128_parent128,16,16,4,8015,462,1175,0.05764192139737991,288540,138655,0.5194600402023983,138650,0.519477368822347,12,2
14,mixed,2,packed_rank16,2,2,1,4768,888,606,0.18624161073825504,23840,12806,0.4628355704697986,12804,0.4629194630872483,12,2
14,mixed,2,packed_rank32,4,4,1,4768,888,606,0.18624161073825504,42912,24118,0.43796607009694255,24116,0.4380126771066368,12,2
14,mixed,2,aligned_rank64,8,8,8,4768,888,606,0.18624161073825504,114432,52958,0.5372098713646533,52956,0.5372273489932886,12,2
14,mixed,2,state128_parent128,16,16,4,4768,888,606,0.18624161073825504,171648,94654,0.4485575130499627,94652,0.4485691648023863,12,2
14,mixed,4,packed_rank16,2,2,1,9527,2139,1256,0.22451978587173296,47635,26727,0.43892096147790494,26722,0.4390259263146846,12,2
14,mixed,4,packed_rank32,4,4,1,9527,2139,1256,0.22451978587173296,85743,50059,0.41617391507178425,50054,0.4162322288699952,12,2
14,mixed,4,aligned_rank64,8,8,8,9527,2139,1256,0.22451978587173296,228648,111696,0.5114936496273748,111691,0.5115155173017039,12,2
14,mixed,4,state128_parent128,16,16,4,9527,2139,1256,0.22451978587173296,342972,196468,0.42716023465472397,196463,0.42717481310427674,12,2
14,mixed,8,packed_rank16,2,2,1,12888,3123,1915,0.24231843575418993,64440,37060,0.42489137181874614,37050,0.42504655493482313,12,2
14,mixed,8,packed_rank32,4,4,1,12888,3123,1915,0.24231843575418993,115992,69082,0.404424443065039,69072,0.40451065590730395,12,2
14,mixed,8,aligned_rank64,8,8,8,12888,3123,1915,0.24231843575418993,309312,154987,0.4989298830953859,154977,0.4989622129112352,12,2
14,mixed,8,state128_parent128,16,16,4,12888,3123,1915,0.24231843575418993,463968,270583,0.4168067625353473,270573,0.4168283157459135,12,2
20,direct,2,packed_rank16,2,2,1,13624,50,1722,0.0036699941280093954,68120,29120,0.5725190839694656,29118,0.5725484439224897,18,2
20,direct,2,packed_rank32,4,4,1,13624,50,1722,0.0036699941280093954,122616,56468,0.5394728257323678,56466,0.5394891368173811,18,2
20,direct,2,aligned_rank64,8,8,8,13624,50,1722,0.0036699941280093954,326976,111514,0.6589535623409669,111512,0.6589596789978469,18,2
20,direct,2,state128_parent128,16,16,4,13624,50,1722,0.0036699941280093954,490464,220706,0.5500057088797548,220704,0.5500097866510081,18,2
20,direct,4,packed_rank16,2,2,1,31644,887,4017,0.02803059031727974,158220,69966,0.5577929465301479,69962,0.5578182277840981,18,2
20,direct,4,packed_rank32,4,4,1,31644,887,4017,0.02803059031727974,284796,135028,0.5258781724462422,135024,0.5258922175873257,18,2
20,direct,4,aligned_rank64,8,8,8,31644,887,4017,0.02803059031727974,759456,271361,0.6426902941052544,271357,0.6426955610331606,18,2
20,direct,4,state128_parent128,16,16,4,31644,887,4017,0.02803059031727974,1139184,528061,0.5364567971460273,528057,0.5364603084312982,18,2
20,direct,8,packed_rank16,2,2,1,37087,1146,4940,0.030900315474425,185435,82552,0.5548197481597326,82546,0.5548521045110146,18,2
20,direct,8,packed_rank32,4,4,1,37087,1146,4940,0.030900315474425,333783,159018,0.5235886788722014,159012,0.5236066546229137,18,2
20,direct,8,aligned_rank64,8,8,8,37087,1146,4940,0.030900315474425,890088,319972,0.6405164433179641,319966,0.6405231842244812,18,2
20,direct,8,state128_parent128,16,16,4,37087,1146,4940,0.030900315474425,1335132,621252,0.5346887049370399,621246,0.534693198874718,18,2
20,mixed,2,packed_rank16,2,2,1,20431,2546,2570,0.12461455631148745,102155,51070,0.5000734178454309,51068,0.5000929959375459,18,2
20,mixed,2,packed_rank32,4,4,1,20431,2546,2570,0.12461455631148745,183879,97024,0.47234866406713105,97022,0.4723595407849728,18,2
20,mixed,2,aligned_rank64,8,8,8,20431,2546,2570,0.12461455631148745,490344,206754,0.5783490773824091,206752,0.5783531561515998,18,2
20,mixed,2,state128_parent128,16,16,4,20431,2546,2570,0.12461455631148745,735516,380386,0.4828311008869963,380384,0.4828338200664567,18,2
20,mixed,4,packed_rank16,2,2,1,41990,7183,5343,0.1710645391759943,209950,110872,0.4719123600857347,110867,0.47193617527982856,18,2
20,mixed,4,packed_rank32,4,4,1,41990,7183,5343,0.1710645391759943,377910,209218,0.4463814135640761,209213,0.44639464422746156,18,2
20,mixed,4,aligned_rank64,8,8,8,41990,7183,5343,0.1710645391759943,1007760,456191,0.5473217829641979,456186,0.5473267444629674,18,2
20,mixed,4,state128_parent128,16,16,4,41990,7183,5343,0.1710645391759943,1511640,820843,0.4569851287343547,820838,0.45698843640020115,18,2
20,mixed,8,packed_rank16,2,2,1,57786,11046,7666,0.1911535666078289,288930,156376,0.45877548195064544,156368,0.45880317031807016,18,2
